Ligand	Receptor
APOA2	LDLR,LRP1,LRP2
APOA4	LDLR,LRP1,LRP2
APOB	ITGAM,LRP6,OLR1,LRP2,VLDLR,LDLR,CALCR,MTTP,LSR,ADRB2,TLR6,LRP1,ITGB2,TLR4,LRP8
APOC1	VLDLR
APOC2	LDLR,LRP1,LRP2
APOC3	LRP2,LDLR,LRP1,SDC2,TLR2
APOC4	VLDLR
APOD	LEPR
APOE	LRP6,LRP2,VLDLR,LDLR,LRP5,CHRNA4,TREM2,LSR,SORL1,ABCA1,SCARB1,SDC2,LRP8,LRP4,LRP1
APP	VLDLR,MTNR1A,FPR2,GRM7,LRP10,PLD1,TSPAN15,DCC,CAV1,RPSA,TNFRSF21,NCSTN,AGER,CD74,NGFR,APLP1,TSPAN12,LRP1,PTGER2,NOTCH2,SORL1,LRP6,APLP2,GPC1,ADRA2A
AREG	ERBB3,EGFR
ARF1	CHRM3,PLD2,INSR
ARF4	EGFR
ARF6	PLD1,SMAP1
ARPC5	ADRB2,LDLR,LRP2
ARTN	GFRA2,GFRA3,GFRA1,RET
ASIP	MC3R,MGRN1,ATRN,MC4R,MC5R,MC2R,F11R,MC1R
AVP	ADCYAP1R1,LDLR,GPR84,TSHR,RAMP3,RAMP2,LRP2,AVPR1A,ADRB2,PTH1R,OXTR,VIPR1,ADRB3,AVPR2,AVPR1B,GPR20
AZGP1	ITGAV
B2M	HLA-F,CD1A,CD3D,LILRB1,KIR2DL1,KIR2DL3,TFRC,CD247,CD1B,KLRC2,KLRD1,KIR3DL1,LILRB2,HFE,CD3G,KLRC1
BCAN	NRCAM,EGFR
BDNF	NGFR,DRD4,SORT1,NTRK2,BEX3
BGN	TLR4,TLR1,TLR2,LY96
BMP1	BMPR2,BMPR1A,BMPR1B
BMP10	ENG,ACVRL1,BMPR2,BMPR1A,BMPR1B,ACVR2A
BMP15	BMPR2,BMPR1A,BMPR1B,ACVR2A
BMP2	BMPR1B,ACVR2A,SMO,ACVR1,GPC1,HJV,ACVR2B,BMPR1A,ENG,BMPR2
BMP3	ACVR2B,BMPR2,BMPR1A,BMPR1B
BMP4	LRP6,BMPR2,BMPR1A,HJV,BMPR1B
BMP5	BMPR2,BMPR1A,BMPR1B,HJV
BMP6	HJV,BMPR2,BMPR1A,BMPR1B,ACVR2A,ACVR1
BMP7	BMPR1B,ACVR2A,ACVR1,ACVR2B,BMPR1A,ENG,BMPR2
BMP8A	BMPR2,BMPR1A,BMPR1B
BMP8B	BMPR2,BMPR1B,PLAUR,BMPR1A
BSG	SELE
BST1	CAV1
BST2	LILRA4
BTC	ERBB3,ERBB2,EGFR,ERBB4
BTLA	VTCN1,TNFRSF14,CD247,CD79A
C1QA	CD93,CSPG4,CR1
C1QB	C1QBP,LRP1
C1QTNF1	AVPR2
C1QTNF5	MFRP
C3	ITGAM,CD19,CD46,MTNR1A,C5AR2,CR2,GRM7,ITGAX,C3AR1,ADRA2A,IFITM1,CR1,ITGB2,CD81,LRP1
C4A	C5AR2,C3AR1,CR1
C4B	CD46,CR1
C4BPA	BMPR2,CD40,LRP1
C5	ADRA2A,MTNR1A,C5AR2,C5AR1,GRM7
CALCA	ADCYAP1R1,CALCRL,GPR84,CALCR,GPR20,ADRB3,TSHR,RAMP3,RAMP2,RAMP1,ADRB2,PTH1R,VIPR1
CALCB	ADCYAP1R1,TSHR,GPR84,RAMP3,RAMP2,RAMP1,ADRB2,PTH1R,VIPR1,ADRB3,CALCR,GPR20,CALCRL
CALM1	KCNQ3,GRM3,CALCR,GRM4,CRHR1,GRM7,MYLK,PDE1A,HMMR,ADCYAP1R1,OPRM1,RYR2,GLP1R,PDE1C,TRPC3,SCN10A,AQP6,PTPRA,MYLK2,SCN4A,SCTR,KCNQ1,SELL,PDE1B,MIP,GLP2R,TRPC5,KCNN4,CACNA1C,PTH2R,EGFR,HTR2C,ADCY8,INSR,GRM5,GP6,AQP1,VIPR1,CNGA2,KCNQ5,FAS
CALM2	KCNQ3,EGFR,KCNQ5,GRM7,MYLK,PDE1A,INSR,ADCY8,PDE1C,GP6,SCN10A,PLPP6,AQP6,GRM5,MYLK2,AQP1,SCN4A,KCNQ1,SELL,PDE1B,TRPC5,CACNA1C
CALM3	KCNQ3,KCNQ5,ESR1,GRM7,MYLK,PDE1A,INSR,RYR2,PDE1C,GP6,SCN10A,AQP6,GRM5,MYLK2,AR,AQP1,SCN4A,KCNQ1,SELL,PDE1B,TRPC5,CACNA1C,EGFR,ADCY8
CALML3	KCNQ1
CALR	MPL,TSHR,ITGA3,LRP1,HLA-F,ITGAV,ITGA2B,SCARF1,MTNR1A
CAMP	P2RX7,FPR2,IGF1R,EGFR
CCK	CCKAR,CCKBR
CCL1	CCR8
CCL11	CXCR3,CCR3,DPP4,ACKR1,ACKR2,ACKR4,CCR2,CCR5
CCL13	CXCR3,CCR3,ACKR1,CCR1,ACKR2,CCR2,CCR5,ACKR4,CCR9
CCL14	CCR5,CCR1,ACKR1,ACKR2,CCR3
CCL15	CCR1,CCR3
CCL16	HRH4,ADRA2A,CCR2,CCR5,CCR1,MTNR1A,CCR8,GRM7
CCL17	CCR4,ACKR1,ACKR2,CCR8
CCL18	CCR1,CCR8,CCR3
CCL19	CCR10,CXCR3,GRM7,ACKR2,CCRL2,CCR7,ACKR4,ADRA2A,MTNR1A
CCL2	CCR4,CCR1,CCR2,CCR5,CCR10,CCR3,ACKR1,ACKR2,ACKR4
CCL20	CXCR3,CCR6,ADRA2A,MTNR1A,GRM7
CCL21	ADRA2A,MTNR1A,CXCR3,GRM7,ACKR2,CCR7,ACKR4
CCL22	CCR4,DPP4,ACKR2
CCL23	CCR1,ACKR2
CCL24	CCR3,ACKR2,CCR2
CCL25	ACKR2,ACKR4,ADRA2A,MTNR1A,CCR10,CCR9,GRM7
CCL26	CCR3,CCR2,CCR1
CCL27	CCR10,ADRA2A,GRM7,ACKR2,MTNR1A
CCL28	ACKR2,CCR3,ADRA2A,MTNR1A,CCR10,GRM7
CCL3	CCR5,CCR1,CCR4,ACKR2,CCR3
CCL3L3	CCR5,ACKR2
CCL4	CCR5,CCR1,CCR8,CNR2,ACKR2,CCR3
CCL5	ACKR4,ADRA2A,CCR5,CCR1,MTNR1A,CCR4,CCRL2,GRM7,ACKR1,SDC4,CXCR3,SDC1,GPR75,ACKR2,CCR3
CCL7	CCR3,ACKR2,ACKR4,CCR2,CCR5,CCR1,CCR10,ACKR1,CXCR3
CCL8	CCR3,ACKR2,ACKR4,CCR2,CCR5,CCR1,ACKR1
CCN1	ITGAM,ITGB3,TLR2,ITGAV,ITGA5,ITGB5,CAV1,TLR4,ITGB2
CCN2	ITGAM,NTRK1,ITGB2,LRP1,LRP6,EGFR,ITGA5,ERBB4
CCN3	PLXNA1,NOTCH1
CCN6	SORL1
CD14	ITGA4,ITGB1,TLR6,TLR9,ITGB2,TLR4,TLR1,RIPK1
CD160	TNFRSF14
CD200	CD200R1
CD24	SELP,SIGLEC10
CD274	CD80,PDCD1
CD34	SELL,SELP
CD40LG	ITGAM,CD40,ITGB2,TRAF3
CD55	ADGRE5,ADGRE2,CR1
CD58	CD2
CD59	CD2
CD5L	CD5
CD6	ALCAM
CD70	TNFRSF13B,CD27,TNFRSF17
CD86	CTLA4,CD28
CD99	PILRA,CD81
CDH1	EGFR,LRP5,IGF1R,ITGB7,ERBB3,KLRG1,CDH2,ITGAE,PTPRM,PTPRF
CEACAM1	EGFR,SELE,CD209
CEACAM16	TECTB,TECTA
CEACAM5	CD1D
CEACAM6	EGFR
CEL	CXCR4
CER1	MRC2
CFC1	SMAD3,ACVR1B,ACVR2A
CFH	ITGAM,SELL
CGA	ADCYAP1R1,RAMP3,RAMP2,LHCGR,ADRB2,PTH1R,VIPR1,ADRB3,GPR20,FSHR,TSHR,GPR84
CGB3	LHCGR
CGB5	LHCGR
CGN	F11R,TGFBR2,OCLN,TGFBR1
CHAD	ITGA2,ITGB1
CKLF	CCR4,LRP6
CLCF1	CNTFR,CRLF1,IL6ST,LIFR
CLEC2A	KLRF2
CLEC2B	KLRF1
CLEC2D	KLRB1
CLEC3A	CLEC10A
CNTF	CNTFR,IL6R,IL6ST,LIFR,EGFR
CNTN2	CNTNAP2,CNTN1,NRCAM,NRP1
CNTN3	PTPRG
CNTN4	PTPRG
COL11A1	ITGB1,DDR1,ITGA2
COL14A1	CD44
COL16A1	ITGB1
COL18A1	ITGB1,ITGB3,GPC4,ITGA3,KDR,GPC1,ITGA5,ITGB5
COL1A1	ITGA5,CD93,FLT4,CD36,ITGA1,DDR2,CD44,ITGAV,ITGB1,ITGA11,TMPRSS6,ITGA2,DDR1
COL1A2	CD44,ITGB1,ITGA11,ITGB3,CD36,CD93,ITGAV,FLT4,ITGA2B,ITGA1,ITGA2
COL2A1	ITGB1,MAG,DDR1,TNFRSF10A,ITGA2B,ITGA1,ITGA2,ITGA10
COL3A1	DDR2,ITGB1,MAG,DDR1,ITGA2
COL4A1	ITGB1,ITGB8,CD93,ITGAV,ITGA1,ITGA2,CD47
COL4A2	ITGB3,CD93,ITGB5
COL4A3	ITGB3,ITGA3,CD93,ITGAV,ITGA1,ITGA2,CD47,ITGB1
COL4A4	ITGB3,CD93,ITGAV,ITGA1,ITGA2,CD47,ITGB1
COL4A5	CD47,ITGB1,CD93,ITGAV,ITGA1,ITGA2
COL4A6	ITGB1,CD93,ITGAV,ITGA1,ITGA2,CD47
COL5A1	ITGB1,ITGA1,SDC3
COL5A2	ITGB1,DDR1,ITGA1
COL6A1	ITGB1,ITGA6,ITGA1,ITGA2
COL6A2	ITGB1,ITGA1,ITGA2
COL6A3	ITGB1,ITGA2,ITGA1
COL7A1	ITGB1,ITGA2
COL8A1	ITGA1,ITGA2
COL8A2	SLC4A11
COL9A1	ITGB1,MAG
COL9A2	ITGB1,MAG
COL9A3	ITGB1,MAG
COLQ	MUSK
COMP	ITGB1,ITGB3,CD36
CORT	SSTR3,GHSR,SSTR4,SSTR1,ADRA2A,SSTR5,MTNR1A,MRGPRX2,SSTR2,GRM7
CP	SLC40A1
CPAMD8	SCTR
CRH	ADCYAP1R1,ADRB2,CRHR2,GPR84,PTH1R,VIPR1,GPR20,MC2R,CRHR1,ADRB3,TSHR,RAMP3,RAMP2
CRISP2	CATSPER1
CRISP3	A1BG
CRP	OLR1,CR1
CSF1	SIRPA,CSF1R
CSF2	ITGB1,CSF2RB,CSF2RA,IL3RA,SDC2,CSF3R,ITGA9,CSF1R
CSF3	CSF1R,CSF3R
CSH1	PRLR
CSH2	PRLR
CSHL1	GHR
CTF1	IL6ST,LIFR
CTHRC1	FZD5,FZD6,FZD3
CUBN	LRP2
CX3CL1	CX3CR1
CXCL1	ADRA2A,CXCR1,MTNR1A,CXCR2,GRM7,ACKR1
CXCL10	DPP4,SDC4,CXCR3,CCR3,GRM7,ADRA2A,MTNR1A
CXCL11	DPP4,CXCR3,CCR3,ACKR1,GRM7,ACKR3,ADRA2A,MTNR1A
CXCL12	ITGB1,CXCR4,CD4,ACKR3,ADRA2A,AVPR1A,MTNR1A,CCR4,GRM7,DPP4,SDC4,CXCR3
CXCL13	CCR10,CXCR3,GRM7,CXCR5,MTNR1A,OPRD1,ACKR4,ADRA2A
CXCL14	CXCR4
CXCL16	GRM7,MTNR1A,CXCR6,ADRA2A
CXCL17	GPR35
CXCL2	ADRA2A,CXCR1,MTNR1A,XCR1,CXCR2,GRM7,DPP4
CXCL3	MTNR1A,CXCR2,GRM7,ADRA2A,CXCR1
CXCL5	MTNR1A,ACKR1,CXCR2,GRM7,ADRA2A,CXCR1
CXCL6	ADRA2A,ACKR1,CXCR2,GRM7,CXCR1,MTNR1A
CXCL8	SDC1,SDC3,SDC2,ACKR1,CXCR2,GRM7,CD79A,KDR,ADRA2A,CXCR1,MTNR1A
CXCL9	CXCR3,CCR3,FCGR2A,ADRA2A,MTNR1A,KIR2DL3,GRM7,DPP4
DCN	EGFR,MET,ERBB4
DEFB1	CCR6
DEFB103A	CCR6,CCR2
DEFB103B	CCR6,CCR2
DEFB106A	CCR2
DEFB4A	CCR6,TLR4
DEFB4B	CCR6
DHH	PTCH1,HHIP,BOC,CDON,PTCH2
DKK1	LRP6,LRP5,KREMEN2,KREMEN1
DKK2	KREMEN2,LRP6
DKK3	KREMEN1
DKK4	LRP6,LRP5
DLK1	NOTCH2,NOTCH3,NOTCH1
DLK2	NOTCH1
DLL1	NOTCH4,NOTCH2,NOTCH3,NOTCH1
DLL3	NOTCH1,NOTCH4,NOTCH2,NOTCH3
DLL4	NOTCH1,NOTCH4,NOTCH2,NOTCH3
DMP1	PHEX,ITGB3
DRAXIN	DCC
DSC1	DSG2,DSG3,DSG1
DSC2	DSG1,DSG2
DSC3	DSG3,DSG1,DSG2
DSCAM	DCC
DSPP	ITGB1
EBI3	IL27RA,IL6ST
EDA	EDA2R,EDAR
EDIL3	ITGAV,ITGB5
EDN1	EDNRA,KEL,ADGRL4,EDNRB
EDN2	EDNRB,EDNRA,KEL
EDN3	EDNRB,KEL,EDNRA
EFEMP1	EGFR
EFEMP2	AQP1,PLSCR4
EFNA1	EPHB6,EPHA7,EPHA10,EPHA5,EPHB1,EPHA6,EPHA8,EPHA1,EPHA4,EPHA3,EPHA2
EFNA2	EPHA7,EPHA10,EPHA3,EPHA1,EPHA5,EPHA4,EPHA6,EPHA2,EPHA8
EFNA3	EPHB6,EPHA7,EPHA10,EPHA5,EPHB1,EPHA6,EPHA8,EPHA1,EPHA4,EPHA3,EPHA2
EFNA4	EPHA5,EPHA8,EPHA1,EPHA4,EPHA3,EPHA2,EPHA7,EPHA10,EPHA6
EFNA5	EPHB6,EPHA7,EPHA10,EPHA3,EPHA5,EPHB1,EPHB2,EPHA6,EPHA2,EPHA8,EPHA1,EPHA4
EFNB1	EPHB6,EPHB4,ERBB2,EPHB1,EPHB3,EPHB2,EPHA4,EPHA6
EFNB2	EPHB6,PECAM1,EPHB4,RHBDL2,EPHA3,EPHB1,EPHB3,GRM5,EPHB2,EPHA4,EPHA6,GRM1
EFNB3	EPHB6,EPHB4,RHBDL2,EPHB1,EPHB3,EPHB2,EPHA4
EGF	EGFR,LDLR,FSHR,ERBB3,ADRB2,CAV1,RHBDL2,ERBB2,ERBB4,NRP1,AXL,PLD2,LRP2
EPGN	EGFR
EPO	EPHB4,EPOR
EREG	ERBB2,EGFR,ERBB4,ERBB3
F10	ITGAM,ITGB2,F3
F11	GP1BA
F12	GP1BA,CD93
F13A1	ITGA4,ITGB1,ITGA9
F2	GP1BB,F2R,THBD,GP1BA,F2RL3,ITGA2B,F2RL2,F2RL1,GP9
F7	F3
F8	LDLR,LRP1,ASGR2
F9	LRP1
FABP5	RXRA
FADD	ABCA1,FAS,TRADD,TRAF2
FAM3C	GLRA2,LAMP1
FARP2	PLXNA3,PLXNA1,PLXNA2,PLXNA4
FASLG	TNFRSF6B,TNFRSF1A,TNFRSF10B,FAS
FAT4	DCHS1
FBLN1	ITGB1
FBLN2	ITGB3
FBN1	ITGB3,ITGB1,ITGAV,ITGB6,ITGA5
FCN2	LRP1
FGA	ITGAM,ITGAX,ITGB1,PLAUR,ITGB3,CDH5,ITGB2,TLR4,ITGAD,ITGAV,ITGA2B,ITGA5
FGB	ITGAM,ITGB1,ITGB3,ITGB2,TLR4,ITGAV,ITGA2B,ITGA5
FGF1	TGFBR3,NRP1,EGFR,FGFR4,FGFR3,FGFRL1,FGFR1,CD44,FGFR2
FGF10	FGFR2,FGFRL1,FGFR1
FGF11	FGFR2,FGFR1,FGFR3,FGFR4
FGF12	FGFR4,FGFR3,FGFR1,FGFR2
FGF13	FGFR1,SCN5A,FGFR2,FGFR3,SCN8A,EGFR,FGFR4
FGF14	FGFR2,FGFR1,FGFR4,FGFR3
FGF16	FGFR2,FGFR4,FGFR3,FGFR1
FGF17	FGFR2,FGFR1,FGFR4,FGFR3
FGF18	FGFR2,FGFR4,FGFR1,FGFR3
FGF19	FGFR2,FGFR1,FGFR3,KLB,FGFR4
FGF2	SDC1,FGFR1,FGFR2,CD44,SDC3,SDC4,GPC4,SDC2,FGFRL1,FGFR4,FGFR3,NRP1
FGF20	FGFR2,FGFR4,FGFR1,FGFR3
FGF21	KLB,FGFR4,FGFR3,FGFR1,FGFR2
FGF22	FGFR2,FGFR1
FGF23	FGFR2,PHEX,KL,FGFR4,FGFR1,FGFR3
FGF3	FGFR2,FGFR1,FGFR3,FGFR4
FGF4	FGFR2,FGFR4,FGFR1,FGFR3,NRP1
FGF5	FGFR2,FGFR1,FGFR3,FGFR4
FGF6	FGFR2,SDC4,FGFR4,FGFR1,FGFR3
FGF7	FGFR2,FGFR4,FGFR1,FGFR3,NRP1
FGF8	FGFR2,FGFRL1,FGFR1,FGFR3,FGFR4
FGF9	FGFR2,FGFR1,FGFR4,FGFR3
FGG	ITGB1,ITGB3,ITGB2,TLR4,ITGAV,ITGA2B,ITGA5
FGL1	EGFR
FLT3LG	FLT3
FN1	ITGA4,ITGB3,C5AR1,ITGA6,ITGA8,DPP4,CD44,ITGB1,TMPRSS6,COL13A1,TSHR,MAG,ITGA3,CD79A,ITGB8,NT5E,ITGAV,FLT4,ITGA2B,ITGA9,ITGB7,ITGB6,ITGA5,IL17RC,ITGA2,TNFRSF11B,ROBO4,SDC2,PLAUR
FSHB	ADCYAP1R1,TSHR,GPR84,RAMP3,RAMP2,ADRB2,PTH1R,VIPR1,ADRB3,GPR20,FSHR
FST	HJV,BMPR2,BMPR1B
FYN	SPN,THY1
GAD1	GRM4
GAL	ADRA2A,MTNR1A,GALR2,GRM7,GPR151,GALR1,GALR3
GALP	GALR3,GALR1,GALR2
GAS6	TYRO3,MERTK,AXL
GAST	CCKBR
GC	LRP2
GCG	ADCYAP1R1,GPR84,TSHR,RAMP3,RAMP2,GLP2R,ADRB2,PTH1R,VIPR1,ADRB3,DPP4,GLP1R,GPR20,GCGR
GDF1	ACVR2B,SMAD3,ACVR1B,ACVR2A
GDF10	ACVR1B
GDF11	ACVR2B,ACVR1B,BMPR2,BMPR1A,BMPR1B,ACVR2A
GDF15	GFRAL,RET
GDF2	ACVR2A,ACVR1,ACVR2B,ENG,BMPR2,ACVRL1
GDF5	ROR2,BMPR2,BMPR1B,ACVR2A,ACVR1,ACVR2B,BMPR1A
GDF6	BMPR2,BMPR1A,BMPR1B
GDF7	BMPR2,BMPR1A,ACVR2A
GDF9	BMPR1B,ACVR2A,BMPR1A,BMPR2,TGFBR1
GDNF	GFRA2,GFRA3,GFRA1,RET,EDNRB
GH1	GHR,PRLR
GH2	GHR
GHRH	ADCYAP1R1,GPR20,TSHR,GPR84,RAMP3,RAMP2,ADRB2,GHRHR,PTH1R,VIPR1,ADRB3
GHRL	PTGER3,TBXA2R,MLNR,GHSR,PTGIR,GHRHR,GPR39
GIP	ADCYAP1R1,GIPR,DPP4,TSHR,GPR20,GPR84,RAMP3,RAMP2,INSR,ADRB2,PTH1R,VIPR1,ADRB3
GNAI2	LPAR3,S1PR5,EDNRA,ADORA1,C5AR1,ADRA2B,F2R,FPR1,S1PR3,OPRM1,UNC5B,CAV1,PTPRU,TBXA2R,CXCR3,EDNRB,CXCR2,DRD2,ADCY7,TSHR,AGTR2,CNR1,OPRD1,S1PR4,MTNR1B,IGF1R,EGFR,ADRA2A,ADCY8,CCR5,ADCY9,LHCGR,CXCR1,ADCY1,MTNR1A,S1PR1,CHRM1,P2RY12
GNAS	CRHR1,GLP1R,GCGR,ADCY7,TSHR,ADCY8,HTR6,PTGIR,ADCY9,LHCGR,ADCY1,PTGDR,VIPR1,ADRB3,AVPR2,ADORA1
GNB3	TGFBR1,GABBR2
GNRH1	GNRHR
GNRH2	GNRHR
GPC3	LRP1,CD81,LRP2,IGF1R
GPHA2	EPHA6,TSHR
GPI	AMFR
GREM1	KDR
GRN	TNFRSF1A,EGFR,SORT1,TNFRSF1B,CLEC4M
GRP	GRPR,BRS3,NMBR
GSTM2	RYR2
GSTO1	RYR1
GSTP1	TRAF2,EGFR
GUCA2A	GUCY2C
GUCA2B	GUCY2D,GUCY2C
GZMB	CHRM3,IGF2R
HAS2	HMMR,CD44
HBEGF	CD44,EGFR,CD9,PRLR,ERBB2,ERBB4,CD82
HCRT	HCRTR1,NPFFR2,HCRTR2
HDC	HRH1,HRH2,HRH3,HRH4
HEBP1	ADRA2A,MTNR1A,FPR3,GRM7
HGF	CD44,SDC1,ITGB1,MET,SDC2,NRP1,ST14
HLA-A	CD3G,LILRA1,APLP2,ERBB2,CD3D,LILRB1,KIR3DL2,KIR2DL1,KIR2DL3,KIR3DL1,LILRB2
HLA-B	CD3G,CANX,LILRA1,CD3D,LILRB1,KIR3DL2,KIR2DL3,KLRD1,KIR3DL1,LILRB2
HLA-C	LILRB2,CD3G,KIR3DL1,LILRA1,CD3D,LILRB1,KIR2DL1,KIR2DL3,NOTCH4
HLA-E	KLRC2,KLRD1,KIR3DL1,KLRC1,KLRK1
HLA-G	KLRC1,CD4,LILRB1,KIR2DL4,KLRD1,KIR3DL1,LILRB2
HMGB1	SDC1,TLR9,THBD,TLR4,CXCR4,AGER,CD163,TLR2
HP	ITGAM,ITGB2,TLR4,CD163,CD22,ASGR1,ASGR2
HPX	LRP1
HRAS	AGTR1,TLR2,GRIN2D,INSR,SDC2,CAV1,TLR9
HRG	ERBB2,FCGR1A,ERBB3
HSP90AA1	ITGB3,FGFR3,CFTR,LRP1,ERBB2,EGFR
HSP90B1	TLR9,TLR7,TLR4,TLR1,LRP1,TLR2,ASGR1,ERBB2
HSPA1A	GRIN2D,TLR4
HSPA4	TLR4
HSPA8	LDLR,LRP2,ADRB2
HSPG2	SDC1,ITGB1,COL13A1,FGFR1,LRP1,LRP2,ITGA2,PTPRS
IAPP	PTH1R,ADCYAP1R1,RAMP2,VIPR1,CALCR,RAMP3,GPR20,ADRB2,RAMP1,ADRB3,TSHR,GPR84
IBSP	ITGB3,ITGAV
ICAM1	ITGAM,ITGAL,ITGAX,MUC1,EGFR,CAV1,IL2RA,ITGB2,SPN,IL2RG
ICAM2	ITGAM,ITGAL,ITGB2
ICAM3	ITGAL,ITGB2,CLEC4M,CD209,ITGAD
ICAM4	ITGAM,ITGAL,ITGA4,ITGB3,ITGB2,ITGB1,RHAG,ITGAV,ITGA2B
ICAM5	ITGAL,ITGB2
ICOSLG	ICOS
IFNA1	IFNAR2,CR2,IFNAR1
IFNA10	IFNAR1,IFNAR2
IFNA13	IFNAR1,IFNAR2
IFNA14	IFNAR1,IFNAR2
IFNA16	IFNAR1,IFNAR2
IFNA17	IFNAR1,IFNAR2
IFNA2	IFNAR1,IFNAR2
IFNA21	IFNAR1,IFNAR2
IFNA4	IFNAR1,IFNAR2
IFNA5	IFNAR1,IFNAR2
IFNA6	IFNAR1,IFNAR2
IFNA7	IFNAR2,IFNAR1
IFNA8	IFNAR1,IFNAR2
IFNB1	IFNAR1,IFNAR2
IFNE	IFNAR1,IFNAR2,ADGRV1
IFNG	IFNGR2,IFNGR1
IFNL1	IL10RB,IFNLR1
IFNL2	IL10RB,IFNLR1
IFNL3	IL10RB,IFNLR1
IFNW1	IFNAR1,IFNAR2
IGF1	INSR,IGF2R,IGF1R
IGF2	IGF1R,INSR,IGF2R
IGFBP4	FZD8,LRP6
IGFL1	IGFLR1
IGFL2	IGFLR1
IGFL3	IGFLR1
IHH	PTCH1,HHIP,BOC,CDON,PTCH2
IL10	IL10RA,IL10RB
IL11	IL11RA,IL6ST
IL12A	IL12RB1,CD28,IL12RB2
IL12B	IL12RB1,IL23R,IL12RB2
IL13	IL13RA2,TMEM219,IL2RG,IL13RA1,IL4R
IL15	IL15RA,IL2RA,IL2RG,IL2RB
IL16	GRIN2B,KCNJ4,KCNJ15,KCNA3,KCNJ10,KCND2,GRIN2A,CD4,KCND1,GRIN2D,CCR5,GRIN2C
IL17A	IL17RC,IL17RA
IL17B	IL17RB
IL17C	IL17RE
IL17F	IL17RC,IL17RA
IL18	CD48,IL18R1,IL1RAPL1,IL18BP,IL1RL2,IL18RAP
IL19	IL20RA,IL20RB
IL1A	IL1R1,IL1RAP,IL1R2
IL1B	SIGIRR,IL1R1,ADRB2,IL1RAP,IL1R2
IL1F10	IL1R1,IL1RL2
IL1RN	IL1R1,IL1RL2,IL1R2
IL2	IL2RA,IL2RG,CD53,NGFR,IL2RB
IL20	IL22RA1,IL20RA,IL20RB
IL21	IL21R,IL2RG
IL22	IL10RA,IL22RA1,IL10RB,IL22RA2,IL21R
IL23A	IL12RB1,IL12RB2,IL23R
IL24	IL22RA1,IL10RB,IL20RA,IL20RB
IL25	IL17RB
IL26	IL10RB,IL20RA
IL27	IL27RA
IL3	CSF2RB,IL3RA
IL31	IL31RA,OSMR
IL33	IL1RL1
IL34	CSF1R
IL36A	IL36RN,IL1RL2
IL36B	IL36RN,IL1RL2
IL36G	IL36RN,IL1RL2
IL37	IL1RAPL1
IL4	IL13RA2,IL2RG,CD53,IL13RA1,IL4R
IL5	CSF2RB,IL5RA
IL6	F3,IL6R,IL6ST,HRH1
IL7	IL7R,IL2RG
IL9	IL2RG,IL9R
INHA	ACVR1,ACVR2B,TGFBR3,ACVR2A
INHBA	ACVR1,ACVR2B,ENG,SMAD3,BAMBI,ACVR1B,TGFBR3,ACVR2A
